28.170000 20.268489 13.241695 4.527885 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 
30.362369 22.792239 16.412451 8.703985 1.391254 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 
33.800605 27.614900 19.573188 12.769499 6.036879 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 
15.322178 19.156396 18.848742 16.082292 6.868771 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 -99.000000 
28.919600 20.770971 27.009266 23.832463 17.351858 11.652765 -2.955797 -99.000000 -99.000000 -99.000000 -99.000000 
38.183237 22.037111 18.026101 17.306679 20.681976 17.297181 12.053592 -0.922836 -99.000000 -99.000000 -99.000000 
49.531855 44.685221 37.960459 26.545043 19.249906 19.606777 14.620569 7.444752 -99.000000 -99.000000 -99.000000 
51.280424 46.734486 41.748378 36.395522 31.284019 26.019298 17.497061 12.787778 -0.700047 -99.000000 -99.000000 
50.154194 47.231009 45.495327 35.872322 27.364359 23.618976 19.129429 13.778390 5.758713 -99.000000 -99.000000 
51.657198 47.578741 44.081865 41.684658 38.172895 32.441374 22.252303 15.215697 11.362604 1.745594 -99.000000 
54.532541 49.181030 44.872381 41.394396 38.171091 30.968974 14.320898 17.008431 14.298912 7.124200 -99.000000 
