3.109641418457031250e+02,3.089805908203125000e+02,3.061767883300781250e+02,3.077497863769531250e+02,nan,nan,nan,nan,nan,nan
3.082550354003906250e+02,3.080501098632812500e+02,3.074716186523437500e+02,3.089115600585937500e+02,nan,nan,nan,nan,nan,nan
3.143898315429687500e+02,3.148398132324218750e+02,3.130131530761718750e+02,3.134434509277343750e+02,nan,nan,nan,nan,nan,nan
3.142943725585937500e+02,3.146404418945312500e+02,3.136518249511718750e+02,3.153131408691406250e+02,3.141674194335937500e+02,nan,nan,nan,nan,nan
3.137678222656250000e+02,3.143025512695312500e+02,3.150376892089843750e+02,3.150242919921875000e+02,3.141120605468750000e+02,3.118191833496093750e+02,3.083816528320312500e+02,nan,nan,nan
3.144458312988281250e+02,3.150764160156250000e+02,3.147909240722656250e+02,3.145368652343750000e+02,3.137707519531250000e+02,3.101303710937500000e+02,3.064533691406250000e+02,nan,nan,nan
3.129289855957031250e+02,3.128748168945312500e+02,3.129649963378906250e+02,3.131405944824218750e+02,3.116740722656250000e+02,3.097348327636718750e+02,3.032285461425781250e+02,3.043516235351562500e+02,nan,nan
3.130403442382812500e+02,3.127658996582031250e+02,3.123850708007812500e+02,3.123511352539062500e+02,3.119967956542968750e+02,3.104408569335937500e+02,3.074184570312500000e+02,3.069887695312500000e+02,nan,nan
3.130864562988281250e+02,3.130041503906250000e+02,3.132020568847656250e+02,3.136195678710937500e+02,3.129048156738281250e+02,3.095927429199218750e+02,3.098587646484375000e+02,3.087591552734375000e+02,3.094234008789062500e+02,nan
3.138428649902343750e+02,3.137616882324218750e+02,3.137085571289062500e+02,3.136277160644531250e+02,3.130121154785156250e+02,3.119421386718750000e+02,3.140617065429687500e+02,3.149993896484375000e+02,3.135209655761718750e+02,nan
