2.176550388336181641e+00,2.260150671005249023e+00,2.355036497116088867e+00,1.784837722778320312e+00,nan,nan,nan,nan,nan,nan
2.301466226577758789e+00,2.365041017532348633e+00,2.381354331970214844e+00,2.436386346817016602e+00,nan,nan,nan,nan,nan,nan
2.249406099319458008e+00,2.270381689071655273e+00,2.250773668289184570e+00,2.395473957061767578e+00,nan,nan,nan,nan,nan,nan
2.293088436126708984e+00,2.272832632064819336e+00,2.258768796920776367e+00,2.281949996948242188e+00,2.282278299331665039e+00,nan,nan,nan,nan,nan
2.339285850524902344e+00,2.350026607513427734e+00,2.318825721740722656e+00,2.267498731613159180e+00,2.248640537261962891e+00,2.203912019729614258e+00,8.891493678092956543e-01,nan,nan,nan
2.342402458190917969e+00,2.308856964111328125e+00,2.294464349746704102e+00,2.329536437988281250e+00,2.286493301391601562e+00,2.249107837677001953e+00,2.282667398452758789e+00,nan,nan,nan
2.362570285797119141e+00,2.350871801376342773e+00,2.342648029327392578e+00,2.350119829177856445e+00,2.333423376083374023e+00,2.308527946472167969e+00,2.362596273422241211e+00,1.037323117256164551e+00,nan,nan
2.374697923660278320e+00,2.372453689575195312e+00,2.372510910034179688e+00,2.393648624420166016e+00,2.372062921524047852e+00,2.309745788574218750e+00,2.454775571823120117e+00,2.582973718643188477e+00,nan,nan
2.383838415145874023e+00,2.382532835006713867e+00,2.389034509658813477e+00,2.384656667709350586e+00,2.353199243545532227e+00,2.338701486587524414e+00,2.574410438537597656e+00,2.543940067291259766e+00,1.923000931739807129e+00,nan
2.394305229187011719e+00,2.391739845275878906e+00,2.397213697433471680e+00,2.396736621856689453e+00,2.384253501892089844e+00,2.431484222412109375e+00,2.625424623489379883e+00,2.414859294891357422e+00,2.390038013458251953e+00,nan
